payer_name,bucket,specification
Freedom Health,Commercial,Freedom
GCU MEDICARE SUPPLEMENT [100387],Government,Medicare
GEHA [100039],Commercial,Other Commercial
GEICO AUTO [750002],Commercial,Geico
GERBER LIFE INSURANCE [100321],Commercial,Gerber
GLOBAL CARE [100257],Commercial,Global
GLOBAL EXCEL MANAGEMENT [250241],Commercial,Global
GLOBAL MEDICAL MANAGEMENT FL,Commercial,Global
GMMI/Canadian Medical Network,Commercial,Other Commercial
GMP EMPLOYERS RETIREE TRUST [100341],Commercial,Other Commercial
GOLD KIDNEY HEALTH PLAN [450143],Commercial,Gold Kidney
GPM HEALTH AND LIFE INSURANCE [100370],Commercial,Other Commercial
GREAT SOUTHERN MEDICARE SUPPLEMENT [100348],Government,Medicare
GROUP AND PENSION ADMINISTRATORS (GPA) [100315],Commercial,Other Commercial
GUARANTEE TRUST LIFE [100378],Commercial,Guarantee Trust
Global Benefits Group,Commercial,Global Benefits
HAVEN HOSPICE,Commercial,Haven
HAVEN HOSPICE [500014],Commercial,Haven
HEALTH COMP [100363],Commercial,Other Commercial
HEALTHGRAM [100316],Commercial,Healthgram
HEALTHSCOPE BENEFITS [100298],Commercial,Healthscope
HEALTHSPRING MCR REPLACEMENT,Government,Medicare
HEARTLAND OF HC,Commercial,Other Commercial
"HMA,LLC [100357]",Commercial,Other Commercial
HOP ADMINISTRATION [100330],Commercial,Hop Administration
HUMANA,Commercial,Humana
HUMANA GOLD CHOICE MCR REPLACEMENT,Commercial,Humana
HUMANA GOLD [250508],Commercial,Humana
HUMANA HMO,Commercial,Humana
HUMANA HMO CARDIOLOGY MCR REPLACEMENT,Commercial,Humana
HUMANA HMO MCR REPLACEMENT,Government,Medicare
HUMANA MCD,Government,Medicaid
HUMANA MEDICAID HMO [250318],Government,Medicaid
HUMANA MEDICAID [450113],Government,Medicaid
HUMANA MEDICARE [450128],Government,Medicare
HUMANA PPO,Commercial,Humana
HUMANA PPO MCR REPLACEMENT,Government,Medicare
HUMANA [100052],Commercial,Humana
HUMANA [250215],Commercial,Humana
Health,Commercial,Health
Health First New York Health insurance,Commercial,Health
HealthSmart,Commercial,Health
HealthSun Health Plan,Commercial,Health
Humana,Commercial,Humana
Humana Gold,Commercial,Humana
Humana of FL,Commercial,Humana
Humana/Choice Care,Commercial,Humana
IAC LIFE [100366],Commercial,IAC
IMAGINE360  [100297],Commercial,Imagine360
INDEPENDENT HEALTH [100358],Commercial,Independent
INMATE HEALTH CARE,Commercial,Other Commercial
INTEGRA ADMINISTRATIVE GROUP (AKA INNOVATIVE),Commercial,Innovative
INTEGRATED BEHAVIORAL HEALTH [100286],Commercial,Other Commercial
INTERNATIONAL,Commercial,International
INTERNATIONAL TRAVELERS INSURANCE [110000],Commercial,International
Ilumed,Commercial,Ilumed
Innovative Healthcare,Commercial,Innovative
Integral,Commercial,Other Commercial
Intergrated,Commercial,Other Commercial
Interlink,Commercial,Interlink
JACKSONVILLE JAGUARS [500023],Government,Other Government
JACKSONVILLE SHERIFF'S OFFICE [500026],Government,Other Government
KAISER PERMANENTE [100299],Commercial,Kaiser
KEMPER HEALTH [100367],Commercial,Kemper
LEE HEALTH CARE PARTNERS [250255],Commercial,Lee Health Care
LEON MEDICAL,Commercial,Leon
LIBERTY HEALTHSHARE [100349],Commercial,Liberty
LIBERTY MUTUAL [750014],Commercial,Liberty
LIFE TRAC TRANSPLANT,Commercial,Life Trac
LIMITED BENEFIT GROUP SUPPLEMENTAL [100359],Commercial,Other Commercial
LINE CONSTRUCTION BENEFIT FUND [100381],Commercial,Line Construction
LONGEVITY HEALTH PLAN [450140],Commercial,Longevity
LUCENT  [100384],Commercial,Lucent
LUCENT HEALTH [100300],Commercial,Lucent
LUMICO LIFE INSURANCE [100390],Commercial,Lumico
LUMINARE HEALTH [100389],Commercial,Luminare
Longevity,Commercial,Longevity
Lucet,Commercial,Lucent
MAGELLAN MEDICAID [450114],Government,Medicaid
MAGNACARE [100317],Commercial,Magnacare
MANHATTAN LIFE INSURANCE COMPANY [100360],Commercial,Manhattan Life Insurance
MARPAI HEALTH [100371],Commercial,Marpai
MBA TPA [100301],Commercial,Other Commercial
MCS CLASSICARE [450147],Commercial,Classicare
MED MUTUAL PROTECT [100380],Commercial,Other Commercial
MEDI-SHARE [100303],Commercial,Other Commercial
MEDICA HEALTH PLAN,Commercial,Medica
MEDICA [100302],Commercial,Medica
MEDICAID,Government,Medicaid
MEDICAID OF FLORIDA ALTERNATE PAYOR [300004],Government,Medicaid
MEDICAID OF FLORIDA [300001],Government,Medicaid
MEDICAID OF GEORGIA [300002],Government,Medicaid
MEDICAID OUT OF STATE [309999],Government,Medicaid
MEDICAL MUTUAL OF OHIO [100114],Commercial,Other Commercial
MEDICARE,Government,Medicare
MEDICARE ADVANTAGE,Government,Medicare
MEDICARE ALTERNATE PAYOR [888],Government,Medicare
MEDICARE MANAGED CARE,Government,Medicare
MEDICARE OTHER (NO SEQ),Government,Medicare
MEDICARE REPLACEMENT,Government,Medicare
MEDICARE [400001],Government,Medicare
MEDIPLUS [100265],Commercial,Mediplus
MERITAIN [100063],Commercial,Meritain
MISCELLANEOUS AUTO/TPL [759999],Commercial,Other Commercial
MISCELLANEOUS COMMERCIAL [109999],Commercial,Other Commercial
MISCELLANEOUS CORRECTIONAL FACILITY [509998],Commercial,Other Commercial
MISCELLANEOUS HOSPICE [510000],Commercial,Other Commercial
MISCELLANEOUS MEDICAID REPLACEMENT [359999],Government,Medicaid
MISCELLANEOUS MEDICARE REPLACEMENT [459999],Government,Medicare
MISCELLANEOUS OTHER [509999],Commercial,Other Commercial
MISCELLANEOUS SNF [510001],Commercial,Other Commercial
MISCELLANEOUS WORKERS' COMP [709999],Government,Worker's Comp
MODA MEDICARE SUPPLEMENT [100376],Government,Medicare
MOLINA,Commercial,Molina
MOLINA EXCHANGE,Commercial,Molina
MOLINA HEALTHCARE [250307],Commercial,Molina
MOLINA MCR REPLACEMENT,Commercial,Molina
MOLINA MEDICAID,Government,Medicaid
MOLINA MEDICAID [450118],Government,Medicaid
MOLINA [100271],Commercial,Molina
MULTIPLAN,Commercial,Other Commercial
MULTIPLAN [100258],Commercial,Other Commercial
MULTIPLAN/PRO AMER [250223],Commercial,Other Commercial
MUTUAL OF OMAHA [100304],Commercial,Other Commercial
Magellan,Commercial,Magellan
MedCare International,Commercial,MedCare
Medica Healthcare,Commercial,Medica
Molina,Commercial,Molina
Molina Complete Care,Commercial,Molina
Molina Healthcare,Commercial,Molina
Molina Healthcare of FL,Commercial,Molina
